Código Nacional|Nombre Estación|Comuna|Región|Latitud|Longitud|Organismo|Datos Desde|Datos Hasta
340133|Lolol|Lolol|Del Libertador Gral. Bernardo  O'Higgins|-34.713888|-71.629721|Fundación para el Desarrollo Frutícola|2020|2023
340134|La Estrella sur|La Estrella|Del Libertador Gral. Bernardo  O'Higgins|-34.213888|-71.716111|Fundación para el Desarrollo Frutícola|2020|2023
340135|La Estrella Norte|La Estrella|Del Libertador Gral. Bernardo  O'Higgins|-34.606388|-71.728332|Fundación para el Desarrollo Frutícola|2020|2023
340136|Marchigüe|Marchihue|Del Libertador Gral. Bernardo  O'Higgins|-34.405555|-71.607222|Fundación para el Desarrollo Frutícola|2020|2023
340137|Rancagua, Punta Cortes|Rancagua|Del Libertador Gral. Bernardo  O'Higgins|-34.173888|-70.793888|Fundación para el Desarrollo Frutícola|2020|2023
340138|Vichuqén Rarin|Vichuquén|Del Maule|-34.765555|-71.956666|Fundación para el Desarrollo Frutícola|2020|2023
340139|Teno, Morza Norte|Teno|Del Maule|-34.835277|-71.024166|Fundación para el Desarrollo Frutícola|2020|2023
340141|Vichuquen|Vichuquén|Del Maule|-34.855|-72.02611|Fundación para el Desarrollo Frutícola|2020|2023
340142|Teno|Teno|Del Maule|-34.878888|-71.165277|Fundación para el Desarrollo Frutícola|2020|2023
340143|Rauco|Rauco|Del Maule|-34.924999|-71.283054|Fundación para el Desarrollo Frutícola|2020|2023
340144|Curicó Tutuquén|Curicó|Del Maule|-34.961666|-71.315833|Fundación para el Desarrollo Frutícola|2020|2023
340145|Sagrada Familia|Sagrada Familia|Del Maule|-34.996944|-71.374443|Fundación para el Desarrollo Frutícola|2020|2023
340146|El Asiento|Alhué|Metropolitana de Santiago|-34.029166|-70.994999|Instituto de Investigación Agropecuaria|2020|2023
340147|Rayentué|Rengo|Del Libertador Gral. Bernardo  O'Higgins|-34.321666|-70.833888|Instituto de Investigación Agropecuaria|2020|2023
340148|Puente Negro|Pichilemu|Del Libertador Gral. Bernardo  O'Higgins|-34.386388|-71.985833|Instituto de Investigación Agropecuaria|2020|2023
340149|Liceo Juan Buchanan|Peumo|Del Libertador Gral. Bernardo  O'Higgins|-34.397221|-71.164722|Instituto de Investigación Agropecuaria|2020|2022
